date,hosp_census_with_covid_Optimistic,hosp_census_with_covid_Central,hosp_census_with_covid_Pessimistic,hosp_census_for_covid_Optimistic,hosp_census_for_covid_Central,hosp_census_for_covid_Pessimistic
2021-12-07,0,16.6278448977152,33.3616370277224,0,9.97670693862913,20.0169822166334
2021-12-08,0.948507190459836,17.5590573048402,34.7795952957656,0.569104314275902,10.5354343829041,20.8677571774594
2021-12-09,1.48472362682151,18.0146089069962,34.7340704399734,0.890834176092909,10.8087653441977,20.840442263984
2021-12-10,2.04752386684342,18.8413891441049,35.512102284383,1.22851432010605,11.3048334864629,21.3072613706298
2021-12-11,2.62820908410013,19.3945193211723,35.7323684923407,1.57692545046008,11.6367115927034,21.4394210954044
2021-12-12,2.82027656925875,19.7336455196019,36.7228463670458,1.69216594155525,11.8401873117612,22.0337078202275
2021-12-13,4.01641490884694,20.2897723310744,37.061373312007,2.40984894530816,12.1738633986446,22.2368239872042
2021-12-14,4.49811273843982,21.0892718277602,37.8046528712226,2.69886764306389,12.6535630966561,22.6827917227336
2021-12-15,4.65484180236486,21.5029613785406,38.2253371917537,2.79290508141891,12.9017768271243,22.9352023150522
2021-12-16,5.61644252321215,21.9050070013724,39.148247261346,3.36986551392729,13.1430042008234,23.4889483568076
2021-12-17,6.78766687724447,23.1653661125573,39.2876064632003,4.07260012634668,13.8992196675344,23.5725638779202
2021-12-18,6.75546953233918,23.8729677520228,40.9457491174931,4.05328171940351,14.3237806512137,24.5674494704958
2021-12-19,8.09956198736301,25.169287674322,40.7020817059123,4.85973719241781,15.1015726045932,24.4212490235474
2021-12-20,9.12470762013606,25.620690738894,42.3938649678089,5.47482457208164,15.3724144433364,25.4363189806854
2021-12-21,10.654967464085,26.7611182457704,43.4321256086082,6.39298047845102,16.0566709474623,26.0592753651649
2021-12-22,11.2709143412444,28.1930088817323,44.1994805070808,6.76254860474665,16.9158053290394,26.5196883042485
2021-12-23,12.5137447121159,28.8801291601026,45.4379695856169,7.50824682726956,17.3280774960616,27.2627817513701
2021-12-24,14.2412719073463,30.9672450114226,47.8842484088781,8.54476314440778,18.5803470068535,28.7305490453269
2021-12-25,15.7166637276681,32.8143866064439,48.5940010628662,9.42999823660087,19.6886319638664,29.1564006377197
2021-12-26,18.9934898730459,34.5717499410099,51.3572814313585,11.3960939238275,20.7430499646059,30.8143688588151
2021-12-27,21.1321206692941,36.9708365658387,54.1146459431686,12.6792724015764,22.1825019395032,32.4687875659012
2021-12-28,23.8134438419017,40.1221783421062,56.1431064593037,14.288066305141,24.0733070052637,33.6858638755822
2021-12-29,26.7577780894994,43.3311346976969,60.0481979229241,16.0546668536997,25.9986808186181,36.0289187537544
2021-12-30,31.137353044505,47.4757596498844,63.8050682560018,18.682411826703,28.4854557899306,38.2830409536011
2021-12-31,36.1402344130813,53.1324550238795,69.2108862551869,21.6841406478488,31.8794730143277,41.5265317531121
2022-01-01,42.1794990984559,58.6594833377127,75.167704409976,25.3076994590735,35.1956900026276,45.1006226459856
2022-01-02,48.6151573193934,65.0898992993315,81.9792828688352,29.1690943916361,39.0539395795989,49.1875697213011
2022-01-03,55.9140783616856,72.7052846229003,89.6729240818382,33.5484470170113,43.6231707737402,53.8037544491029
2022-01-04,65.0319546482456,81.7288586168272,98.274680748348,39.0191727889473,49.0373151700963,58.9648084490088
2022-01-05,74.8877723601468,91.5271465571659,108.192970975731,44.9326634160881,54.9162879342995,64.9157825854388
2022-01-06,85.9666212821299,101.973819033662,118.566900809444,51.5799727692779,61.1842914201973,71.1401404856662
2022-01-07,97.1419889086752,114.105043340884,130.98078586614,58.2851933452051,68.4630260045303,78.5884715196839
2022-01-08,109.909407548686,126.799853193955,143.547675887108,65.9456445292114,76.0799119163732,86.1286055322648
2022-01-09,122.634828442633,139.354508234228,156.396865462825,73.5808970655799,83.6127049405367,93.8381192776948
2022-01-10,135.432286369182,151.590268361289,167.976223014794,81.2593718215094,90.9541610167736,100.785733808877
2022-01-11,145.969993101692,162.722809479775,179.615109405144,87.5819958610151,97.6336856878652,107.769065643086
