county,end of holidays,restrictions lifted,BA.2,BA.2.12,BA.5,BQ.1.1 and BQ.1,XBB.1.5,maybe testing,?,?,V11
Marin,0.643271996196334,1.09546873612398,1.06804209674812,1.00307871395829,1.10254154318227,1.12150767048866,1.13866793606453,0.904808140654035,0.812584711902555,0.810143363811773,0.999690211127626
Butte,0.980284096085816,1.06329257941759,1.26631860511993,1.10338689591621,1.00975245324875,1.2858687432289,1.08092105115442,0.813136394364398,0.729960727955762,0.859612945349292,1.00234472475705
Yolo,0.865762454898732,1.20145476439947,1.15252508414629,1.01033234555114,1.03118835476003,1.33641963279737,1.12773391741949,0.894511842698972,0.808892185344507,0.83496582963826,0.999194910639024
El Dorado,1.03277445968497,1.10973961383398,1.29125802232212,1.00971153288345,1.12252835361144,1.18790088433716,1.00529789100115,0.782734542558246,0.712305063653474,0.859257971087192,1.00114348255557
Imperial,1.16072866029533,1.5336441748604,1.35822630093366,1.01670821251981,1.17347152561435,1.56949225445911,1.32500838413572,0.857106413818322,0.529270660879391,0.866344434042681,1.00189813046651
Shasta,0.98615938362589,1.20748393508938,1.24742343725792,1.10768446479559,1.18320759980306,1.36663923728024,1.00756008806188,0.758594529081813,0.662766232502168,0.931979277773327,0.99785178944298
Madera,0.781269044528575,1.00526632477978,1.21566576313099,1.12992523966937,1.01749812460323,1.05915922085624,1.00123541169581,0.849731178149057,1.02110723704655,0.892922404942353,1.00137135052326
Kings,0.891780195800675,1.19715204644809,1.40268848301851,1.21288975185991,1.04833502111064,1.31627024990431,1.00642311847764,0.907032157759243,0.815301514093685,0.842389970422918,0.997241661047838
Napa,0.769685685432769,1.25639864149486,1.07796526869207,1.00738106881422,1.08912692178652,1.1555014001958,1.11602401901353,0.819380283954753,0.727702581054011,0.808217999042674,1.00249545206691
Humboldt,0.824386709775966,1.11239817954156,1.24952898048861,1.00306023419856,1.23922850909196,1.04059860498982,1.00250994092563,0.782161364588749,0.798614126149477,0.804787838225984,1.00146762088147
Nevada,0.875470058700738,1.22871976649367,1.28984972316009,1.00764679766066,1.03508420203668,1.1790793973054,1.08706383745601,0.902510395611124,0.705010856856571,0.820014177249671,1.00009208717486
Mendocino,0.752972060793274,1.1457230284282,1.22661386713863,1.02165744136245,1.05715172603138,1.15824095896864,1.09180553382632,0.855059855749575,0.762772180930547,0.884188524124983,1.00203078161513
Yuba,0.934794563961028,1.34115481531857,1.31038984319101,1.03162930814035,1.07879449927704,1.24374506694475,1.04560687062294,0.884778500604139,0.773629097407562,0.760965527738144,1.00077257297992
Lake,0.88318448279477,1.11938354084871,1.19645588196495,1.01132336477023,1.02798442798231,1.26324874444276,1.11692341224778,0.81254420666317,0.826157420709279,0.836325154326008,0.999603679204481
Tehama,0.923258754867727,1.3530443284707,1.40961913595301,1.09614270775004,1.14380015752838,1.35252806975482,1.11029107380852,0.693876668384774,0.672937740797644,0.870546122475288,0.995826584556566
Tuolumne,0.953289908038465,1.31519306266672,1.34079799609619,1.09429707292359,1.205989763713,1.17296078380467,1.0191180760596,0.754655473681138,0.70617986063019,0.859723328775266,0.999018923047892
Siskiyou,0.901894398551254,1.1242748177753,1.2784748200541,1.06340523589584,1.03339642719913,1.27016348233278,1.06523425103542,0.905826918649525,0.87871357057242,0.971426080068914,0.997339544361758
